"","Overall"
"V93",2.25707654222627
"V152",2.25618285258439
"V58",2.25090103357244
"V342",2.24485279488805
"V138",2.24373974257935
"V417",2.22859366529267
"V386",2.22849036102416
"V273",2.22284499681607
"V5",2.22114552010862
"V10",2.21569877476471
"V148",2.2129394207146
"V38",2.20038270203135
"V95",2.19972031301019
"V398",2.1960589378206
"V39",2.19199439513991
"V511",2.19005232270152
"V172",2.18546281361636
"V291",2.18460195016552
"V388",2.17515071093976
"V52",2.17099990274321
"V359",2.15721046508652
"V166",2.15453847825542
"V165",2.1538361707404
"V418",2.1418624902109
"V7",2.13410686166603
"V394",2.13016228580026
"V334",2.12527336908428
"V84",2.12438723941578
"V92",2.10987512361004
"V263",2.10068959391431
"V389",2.09892725031472
"V362",2.09400314144519
"V290",2.09394744628963
"V288",2.08109582360515
"V341",2.06605005593111
"V451",2.02941802433606
"V464",2.02765487320194
"V269",2.00880965695581
"V40",2.00076930028451
"V255",1.97262864775922
"V416",1.96187416636579
"V136",1.95862063185118
"V163",1.94992444409156
"V168",1.89314503333278
"V452",1.88663953391551
"V505",1.87381435866084
"V450",1.853447667212
"V88",1.81434676297386
"V506",1.68641507100252
"V504",1.68086065790865
"V261",1.6251152979413
"V91",1.61758647942692
"V98",1.54555981033036
"V482",0.770913205088264
"V199",0.0400400601001753
"V74",0.0200200300500877
"V134",0
"V142",0
"V169",0
"V17",0
"V176",0
"V179",0
"V180",0
"V181",0
"V182",0
"V183",0
"V184",0
"V196",0
"V213",0
"V216",0
"V217",0
"V218",0
"V219",0
"V220",0
"V221",0
"V222",0
"V223",0
"V224",0
"V227",0
"V228",0
"V229",0
"V230",0
"V239",0
"V240",0
"V241",0
"V242",0
"V243",0
"V244",0
"V245",0
"V246",0
"V247",0
"V248",0
"V249",0
"V259",0
"V267",0
"V294",0
"V301",0
"V304",0
"V305",0
"V306",0
"V307",0
"V308",0
"V309",0
"V321",0
"V324",0
"V338",0
"V343",0
"V344",0
"V345",0
"V346",0
"V347",0
"V348",0
"V349",0
"V352",0
"V353",0
"V354",0
"V355",0
"V364",0
"V365",0
"V366",0
"V367",0
"V368",0
"V369",0
"V370",0
"V371",0
"V372",0
"V373",0
"V374",0
"V384",0
"V392",0
"V419",0
"V426",0
"V429",0
"V430",0
"V431",0
"V432",0
"V433",0
"V434",0
"V44",0
"V446",0
"V449",0
"V463",0
"V466",0
"V467",0
"V468",0
"V469",0
"V470",0
"V471",0
"V472",0
"V473",0
"V474",0
"V477",0
"V478",0
"V479",0
"V480",0
"V489",0
"V490",0
"V491",0
"V492",0
"V493",0
"V494",0
"V495",0
"V496",0
"V497",0
"V498",0
"V499",0
"V51",0
"V54",0
"V71",0
"V9",0
"V94",0
